Mapa,Dificuldade,Algoritmo,Heurística,Parâmetros,Estados Gerados,Tempo(s),Memória(Mb),Qualidade da Solução
1,easy,BFS,-,Profundidade=2,73560,76.833,511.673,
1,easy,BFS,-,Profundidade=2,103536,105.263,742.821,
1,medium,BFS,-,Profundidade=2,73260,82.735,545.8,
1,medium,BFS,-,Profundidade=2,61488,67.619,466.79,
1,medium,BFS,-,Profundidade=2,63178,69.488,480.273,
1,hard,BFS,-,Profundidade=2,175200,207.967,1389.07,
1,hard,BFS,-,Profundidade=2,267020,297.731,2176.408,
1,easy,Greedy,-,-,3300,2.347,0.339,
1,easy,Greedy,-,-,3600,2.577,0.192,
1,easy,Greedy,-,-,4200,2.966,0.23,
1,easy,Greedy,-,-,4200,2.991,0.221,
1,easy,Greedy,-,-,3900,3.798,0.186,


1,easy,BFS,-,-,73560,73.534,511.696,
1,easy,BFS,-,-,94694,91.708,679.23,
